,MouseType,Pigmentation,RimSignal,CoreSO2,CoreSignal
0,B6,Yes,966.5364990234375,0.6263983249664307,-139.7166
1,B6,Yes,1135.5029296875,0.6795645356178284,-94.00506
2,B6,No,149.31594848632812,0.5722625255584717,114.02965
3,B6,No,153.68280029296875,0.5524413585662842,98.0955
4,B6,No,172.47079467773438,0.5800254344940186,124.79172
5,B6,No,86.79763793945312,0.5436702966690063,163.62999
6,B6,No,336.92498779296875,0.5689005851745605,144.49043
7,B6,No,208.64306640625,0.5465676188468933,134.82622
8,B6,Yes,737.4702758789062,0.6556663513183594,37.944912
9,B6,Yes,633.300048828125,0.669408917427063,121.138985
10,B6,Yes,749.526123046875,0.6841433048248291,-13.155145
11,B6,No,451.0283203125,0.6893274784088135,25.299206
12,B6,No,378.661865234375,0.6919418573379517,48.37673
13,B6,Yes,985.9539794921875,0.650992751121521,-159.77853
14,B6,Yes,908.6087646484375,0.5483511090278625,-171.16838
15,B6,Yes,846.0289306640625,0.6813718676567078,-99.208244
16,B6,Yes,529.2529296875,0.5741389989852905,-14.398586
17,B6,Yes,921.98046875,0.6486110687255859,-21.40619
18,B6,Yes,798.0784301757812,0.6333079934120178,-98.834656
19,Albino,No,140.3853302001953,0.5609416961669922,165.93921
20,Albino,No,64.52738952636719,0.534821629524231,122.70766
21,Albino,No,58.25481414794922,0.5411919355392456,94.91979
22,Albino,No,117.8795166015625,0.5451532602310181,103.60104
23,Albino,No,100.01715087890625,0.5696161389350891,107.226105
24,Albino,No,96.07027435302734,0.5183133482933044,81.36712
25,Albino,No,122.39958190917969,0.5533651113510132,120.27631
26,Albino,No,63.0946159362793,0.5219625234603882,73.6346
27,Albino,No,101.42991638183594,0.5247159600257874,103.93076
28,Albino,No,93.4462890625,0.5498469471931458,112.61005
