Wavelength,mua
446.3,9.5
448.3,8.68
450.4,8.11
452.4,7.69
454.4,7.27
456.5,6.96
458.6,6.68
460.7,6.46
462.9,6.17
465,6.03
467.2,5.77
469.4,5.6
471.6,5.41
473.8,5.2
473.1,4.74
478.4,4.51
480.7,4.39
483,4.09
485.3,3.83
487.7,3.7
490.1,3.51
492.5,3.39
494.9,3.22
497.4,3.19
499.9,3.1
502.4,3.05
505,2.98
507.5,2.89
510.1,2.72
512.7,2.54
515.4,2.5
518,2.55
520.7,2.46
523.5,2.48
526.2,2.48
529,2.48
531.8,2.41
534.7,2.4
537.5,2.48
540.4,2.49
543.5,2.5
546.3,2.5
574.5,2.22
577.8,2.1
581.2,2.01
584.6,1.91
588,1.89
591.5,1.86
595,1.86
598.6,1.88
602.2,1.92
605.9,1.97
609.6,2
613.3,2.03
617.1,2.09
620.9,2.22
624.8,2.28
628.7,2.28
632.7,2.2
636.7,2.15
640.8,2.15
645,2.14
649.2,2.06
653.4,2.12
657.7,2.12
662.1,2.15
666.5,2.26
670.9,2.4
675.5,2.54
680.1,2.69
684.7,2.74
689.2,2.9
694.2,3.2
